,name,name_en,code,lat,lon,has_flightable_airport,time_zone
176,Красный Кут,Krasny Kut,КСЫ,50.9602776,46.94556,False,Europe/Samara
177,Вуктыл,Vuktyl,ВТЛ,63.8266678,57.285,False,Europe/Moscow
178,Липецк,Lipetsk,LPK,52.61667,39.6,True,Europe/Moscow
179,Кедровый,Kedrovy,КДД,57.6176256,79.46004,False,Asia/Novosibirsk
180,Таловка,Talovka,ТЛО,62.0486107,166.70056,False,Asia/Kamchatka
181,Нюрба,Nyurba,NYR,63.283333,118.333333,True,Asia/Yakutsk
182,Калуга,Kaluga,KLF,54.5,36.266666,True,Europe/Moscow
183,Тула,Tula,TYA,54.2,37.61667,False,Europe/Moscow
184,Мама,Mama,МАМ,58.2999992,112.88333,True,Asia/Irkutsk
185,Среднеколымск,Srednekolymsk,SEK,67.466667,153.716667,True,Asia/Srednekolymsk
186,Ошарово,Osharovo,ОША,60.3666649,98.3,False,Asia/Krasnoyarsk
187,Котлас,Kotlas,KSZ,61.233334,46.7,True,Europe/Moscow
188,Южно-Сахалинск,Yuzhno-Sakhalinsk,UUS,46.966667,142.75,True,Asia/Srednekolymsk
189,Рязань,Ryazan,RZN,54.63333,39.583332,False,Europe/Moscow
190,Поронайск,Poronaisk,ПАЙ,49.21667,143.1,True,Asia/Sakhalin
191,Владимир,Vladimir,ВЛМ,56.126667,40.31667,True,Europe/Moscow
192,Чита,Chita,HTA,52.033333,113.3,True,Asia/Chita
193,Новокузнецк,Novokuznetsk,NOZ,53.75,87.166664,True,Asia/Novokuznetsk
194,Якутск,Yakutsk,YKS,62.085606,129.75006,True,Asia/Yakutsk
195,Эльбрус,Elbrus,ЭЛБ,43.257928,42.645808,False,Europe/Moscow
196,Ульяновск,Ulyanovsk,ULY,54.3214798,48.3856504,True,Europe/Samara
197,Урай,Uraj,URJ,60.11667,64.833336,True,Asia/Yekaterinburg
198,Новороссийск,Novorossijsk,NOI,44.716667,37.766666,False,Europe/Moscow
199,Печора,Pechora,PEX,65.11667,57.13333,True,Europe/Moscow
200,Пахачи,Pakhachi,ПАЧ,60.5561104,169.10472,True,Asia/Kamchatka
201,Курск,Kursk,URS,51.75,36.266666,True,Europe/Moscow
202,Куюмба,Kujumba,КЮМ,60.9500008,96.96667,False,Asia/Krasnoyarsk
203,Синегорье,Sinegorye,СНГ,62.086505134577564,150.52713219701226,True,Asia/Magadan
204,Средние Пахачи,Srednie Pakhachi,СПХ,60.8183327,169.07445,False,Asia/Kamchatka
205,Былино,Bylino,БЫЛ,60.75,76.81667,False,Asia/Yekaterinburg
206,Светлая,Svetlaya,ETL,46.541111,138.31833,True,Asia/Vladivostok
207,Воронеж,Voronezh,VOZ,51.812355,39.226997,True,Europe/Moscow
208,Итуруп,Iturup,ITU,45.25611,147.95583,True,Asia/Srednekolymsk
209,Кослан,Koslan,КОС,63.4747238,48.84028,False,Europe/Moscow
210,Амурзет,Amurzet,АУР,47.696667,131.098056,True,Asia/Vladivostok
211,Крабозаводское,Krabozavodskoye,КБЗ,43.83028,146.75167,True,Asia/Magadan
212,Игрим,Igrim,IRM,63.200756,64.433945,True,Asia/Yekaterinburg
213,Тверь,Tver,KLD,56.916668,35.916668,False,Europe/Moscow
214,Казачинское,Kazachinskoye,КЗЧ,56.2683334,107.57333,True,Asia/Irkutsk
215,Эгвекинот,Egvekinot,ЭГТ,66.3583298,179.11,True,Asia/Anadyr
216,Ноглики,Nogliki,NGK,51.8,143.16667,True,Asia/Sakhalin
217,Тигиль,Tigil,ТИГ,57.7833328,158.72667,True,Asia/Kamchatka
218,Пластун,Plastun,TLY,44.81465,136.28928,True,Asia/Vladivostok
219,Мужи,Muzhi,МУЖ,65.398056,64.698611,True,Asia/Yekaterinburg
220,Новый Уренгой,Novyj Urengoj,NUX,66.07335,76.522835,True,Asia/Yekaterinburg
221,Москва,Moscow,MOW,55.755786,37.617633,True,Europe/Moscow
222,Учами,Uchami,УМИ,63.8166656,96.43,False,Asia/Krasnoyarsk
223,Дальнегорск,Dalnegorsk,DHG,44.56667,135.61667,True,Asia/Vladivostok
