INFO | Открыт сайт для Новосибирск, день 22
INFO | Дата выбрана с первого раза: 22.06.2026
INFO | Найдено поездов для Новосибирск на 22.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 22.06.2026
INFO | Начало парсинга: Новосибирск, день 23
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 23
INFO | Дата выбрана с первого раза: 23.06.2026
INFO | Найдено поездов для Новосибирск на 23.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 23.06.2026
INFO | Начало парсинга: Новосибирск, день 24
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 24
INFO | Дата выбрана с первого раза: 24.06.2026
INFO | Найдено поездов для Новосибирск на 24.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 24.06.2026
INFO | Начало парсинга: Новосибирск, день 25
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 25
INFO | Дата выбрана с первого раза: 25.06.2026
INFO | Найдено поездов для Новосибирск на 25.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 25.06.2026
INFO | Начало парсинга: Новосибирск, день 26
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 26
INFO | Дата выбрана с первого раза: 26.06.2026
INFO | Найдено поездов для Новосибирск на 26.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 26.06.2026
INFO | Начало парсинга: Новосибирск, день 27
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 27
INFO | Дата выбрана с первого раза: 27.06.2026
INFO | Найдено поездов для Новосибирск на 27.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 27.06.2026
INFO | Начало парсинга: Новосибирск, день 28
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 28
INFO | Дата выбрана с первого раза: 28.06.2026
INFO | Найдено поездов для Новосибирск на 28.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 28.06.2026
INFO | Начало парсинга: Новосибирск, день 29
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 29
INFO | Дата выбрана с первого раза: 29.06.2026
INFO | Найдено поездов для Новосибирск на 29.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 29.06.2026
INFO | Начало парсинга: Новосибирск, день 30
INFO | Запуск браузера
INFO | Открыт сайт для Новосибирск, день 30
INFO | Дата выбрана с первого раза: 30.06.2026
INFO | Найдено поездов для Новосибирск на 30.06.2026: 5
INFO | Успешно спарсено строк: 10 для Новосибирск, 30.06.2026
INFO | Начало парсинга: Екатеринбург, день 1
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 1
INFO | Дата выбрана с первого раза: 1.06.2026
INFO | Найдено поездов для Екатеринбург на 01.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 1.06.2026
INFO | Начало парсинга: Екатеринбург, день 2
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 2
INFO | Дата выбрана с первого раза: 2.06.2026
INFO | Найдено поездов для Екатеринбург на 02.06.2026: 10
INFO | Успешно спарсено строк: 21 для Екатеринбург, 2.06.2026
INFO | Начало парсинга: Екатеринбург, день 3
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 3
INFO | Дата выбрана с первого раза: 3.06.2026
INFO | Найдено поездов для Екатеринбург на 03.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 3.06.2026
INFO | Начало парсинга: Екатеринбург, день 4
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 4
INFO | Дата выбрана с первого раза: 4.06.2026
INFO | Найдено поездов для Екатеринбург на 04.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 4.06.2026
INFO | Начало парсинга: Екатеринбург, день 5
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 5
INFO | Дата выбрана с первого раза: 5.06.2026
INFO | Найдено поездов для Екатеринбург на 05.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 5.06.2026
INFO | Начало парсинга: Екатеринбург, день 6
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 6
INFO | Дата выбрана с первого раза: 6.06.2026
INFO | Найдено поездов для Екатеринбург на 06.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 6.06.2026
INFO | Начало парсинга: Екатеринбург, день 7
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 7
INFO | Дата выбрана с первого раза: 7.06.2026
INFO | Найдено поездов для Екатеринбург на 07.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 7.06.2026
INFO | Начало парсинга: Екатеринбург, день 8
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 8
INFO | Дата выбрана с первого раза: 8.06.2026
INFO | Найдено поездов для Екатеринбург на 08.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 8.06.2026
INFO | Начало парсинга: Екатеринбург, день 9
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 9
INFO | Дата выбрана с первого раза: 9.06.2026
INFO | Найдено поездов для Екатеринбург на 09.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 9.06.2026
INFO | Начало парсинга: Екатеринбург, день 10
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 10
INFO | Дата выбрана с первого раза: 10.06.2026
INFO | Найдено поездов для Екатеринбург на 10.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 10.06.2026
INFO | Начало парсинга: Екатеринбург, день 11
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 11
INFO | Дата выбрана с первого раза: 11.06.2026
INFO | Найдено поездов для Екатеринбург на 11.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 11.06.2026
INFO | Начало парсинга: Екатеринбург, день 12
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 12
INFO | Дата выбрана с первого раза: 12.06.2026
INFO | Найдено поездов для Екатеринбург на 12.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 12.06.2026
INFO | Начало парсинга: Екатеринбург, день 13
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 13
INFO | Дата выбрана с первого раза: 13.06.2026
INFO | Найдено поездов для Екатеринбург на 13.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 13.06.2026
INFO | Начало парсинга: Екатеринбург, день 14
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 14
INFO | Дата выбрана с первого раза: 14.06.2026
INFO | Найдено поездов для Екатеринбург на 14.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 14.06.2026
INFO | Начало парсинга: Екатеринбург, день 15
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 15
INFO | Дата выбрана с первого раза: 15.06.2026
INFO | Найдено поездов для Екатеринбург на 15.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 15.06.2026
INFO | Начало парсинга: Екатеринбург, день 16
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 16
INFO | Дата выбрана с первого раза: 16.06.2026
INFO | Найдено поездов для Екатеринбург на 16.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 16.06.2026
INFO | Начало парсинга: Екатеринбург, день 17
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 17
INFO | Дата выбрана с первого раза: 17.06.2026
INFO | Найдено поездов для Екатеринбург на 17.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 17.06.2026
INFO | Начало парсинга: Екатеринбург, день 18
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 18
INFO | Дата выбрана с первого раза: 18.06.2026
INFO | Найдено поездов для Екатеринбург на 18.06.2026: 10
INFO | Успешно спарсено строк: 22 для Екатеринбург, 18.06.2026
INFO | Начало парсинга: Екатеринбург, день 19
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 19
INFO | Дата выбрана с первого раза: 19.06.2026
INFO | Найдено поездов для Екатеринбург на 19.06.2026: 9
INFO | Успешно спарсено строк: 20 для Екатеринбург, 19.06.2026
INFO | Начало парсинга: Екатеринбург, день 20
INFO | Запуск браузера
INFO | Открыт сайт для Екатеринбург, день 20
