name,name_en,code,lat,lon,has_flightable_airport,time_zone
Железногорск,Zheleznogorsk,ЖЕЗ,57.6176256,79.46004,True,Asia/Irkutsk
Нарьян-Мар,Naryan-Mar,NNM,67.61667,53.15,True,Europe/Moscow
Набережные Челны (Нижнекамск),Naberezhnye Chelny,NBC,55.564125,52.10341,True,Europe/Moscow
Уфа,Ufa,UFA,54.565403,55.884544,True,Asia/Yekaterinburg
Саскылах,Saskylakh,SYS,71.92613,114.08235,True,Asia/Yakutsk
Вершинские,Vershinskie,ВЕШ,57.0333328,70.11667,False,Asia/Yekaterinburg
Эгвекинот,Egvekinot,ЭГТ,66.3583298,179.11,True,Asia/Anadyr
Советская Гавань,Sovetskaya Gavan,GVN,48.9575,140.2811111,True,Asia/Vladivostok
Ульяновск,Ulyanovsk,ULY,54.3214798,48.3856504,True,Europe/Samara
Ухта,Ukhta,UCT,63.566666,53.8,True,Europe/Moscow
Маган,Magan,GYG,62.10399,129.55028,True,Asia/Yakutsk
Балаково,Balakovo,BWO,51.86667,47.75,False,Europe/Volgograd
Чкаловский,Chkalovsky,CKL,55.86667,38.051945,False,Europe/Moscow
Салехард,Salekhard,SLY,66.583336,66.6,True,Asia/Yekaterinburg
Волгодонск,Volgodonsk,VLK,47.683334,42.083332,False,Europe/Moscow
Богучаны,Boguchany,BGS,58.3805542,97.47278,True,Asia/Krasnoyarsk
Залив Лаврентия,Zaliv Lavrentija,ЗЛА,65.5833359,-171.01334,True,Asia/Anadyr
Таганрог,Taganrog,TGK,47.243378,38.864017,True,Europe/Moscow
Эльбрус,Elbrus,ЭЛБ,43.257928,42.645808,False,Europe/Moscow
Новокузнецк,Novokuznetsk,NOZ,53.75,87.166664,True,Asia/Novokuznetsk
Чемдальск,Chemdalsk,ЧЕМ,59.625,103.32,False,Asia/Krasnoyarsk
Озерная,Ozernaya,ОЗР,51.5,156.58333,True,Asia/Kamchatka
Ачинск,Achinsk,ACS,56.266666,90.566666,False,Asia/Krasnoyarsk
Белая Гора,Belaya Gora,BGN,68.5375,146.1875,True,Asia/Srednekolymsk
Сургут,Surgut,SGC,61.339916,73.40953,True,Asia/Yekaterinburg
Белокуриха,Belokurikha,БИХ,52.0633316,85.01833,True,Asia/Novokuznetsk
Мотыгино,Motygino,MJY,58.1808319,94.74472,True,Asia/Krasnoyarsk
Магдагачи,Magdagachi,GDG,53.466667,125.8,False,Asia/Yakutsk
