name,name_en,IATA_code,lat,lon,has_flightable_airport,time_zone,population_rating
Оха,Okha,OHH,53.516666,142.88333,True,Asia/Srednekolymsk,650
Инта,Inta,INA,66.066666,60.1,True,Europe/Moscow,651
Белоярский,Beloyarsky,EYK,63.696682,66.70121,True,Asia/Yekaterinburg,656
Тарко-Сале,Tarko-Sale,TQL,64.92134,77.797356,True,Asia/Yekaterinburg,662
Зея,Zeja,ЗЕЯ,53.689724,127.09222,True,Asia/Yakutsk,675
Николаевск-на-Амуре,Nikolaevsk-na-Amure,NLI,53.15,140.73333,True,Asia/Vladivostok,683
Светлогорск,Svetlogorsk,SES,66.8383331,88.40667,True,Asia/Krasnoyarsk,733
Поронайск,Poronaisk,ПАЙ,49.21667,143.1,True,Asia/Sakhalin,740
Магас,Magas,IGT,43.16667,44.81667,True,Europe/Moscow,759
Белокуриха,Belokurikha,БИХ,52.0633316,85.01833,True,Asia/Novokuznetsk,777
Кодинск,Kodinsk,KNY,58.4799995,99.095,True,Asia/Krasnoyarsk,812
Анадырь,Anadyr,DYR,64.73333,177.75,True,Asia/Anadyr,816
Удачный,Udachnyj,PYJ,66.416664,112.05,True,Asia/Yakutsk,823
Киренск,Kirensk,KCK,57.772778,108.060833,True,Asia/Irkutsk,870
Нюрба,Nyurba,NYR,63.283333,118.333333,True,Asia/Yakutsk,894
Вилюйск,Vilyuisk,VYI,63.75639,121.69306,True,Asia/Yakutsk,900
Бодайбо,Bodaybo,ODO,57.86639,114.2425,True,Asia/Irkutsk,935
Олёкминск,Olokminsk,OLZ,60.366667,120.416667,True,Asia/Yakutsk,954
Сусуман,Susuman,ССМ,62.7672195,148.1461,True,Asia/Magadan,1062
Певек,Pevek,PWE,69.78333,170.6,True,Asia/Anadyr,1070
Игарка,Igarka,IAA,67.433334,86.63333,True,Asia/Krasnoyarsk,1076
Среднеколымск,Srednekolymsk,SEK,67.466667,153.716667,True,Asia/Srednekolymsk,1082
Мезень,Mezen,МЗН,65.878334,44.21695,True,Europe/Moscow,1086
Северо-Курильск,Severo-Kurilsk,СКР,50.6663874710616,156.12252280213875,True,Asia/Magadan,1089
